squareMeters,numberOfRooms,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,id
75523,3,63,9373,3,8,2005.0,0.0,1,4313,7176
80771,39,98,39381,8,6,2015.0,1.0,0,3653,28665
55712,58,19,34457,6,8,2021.0,0.0,0,2937,6579
32316,47,6,27939,10,4,2012.0,0.0,1,659,4527
70429,19,90,38045,3,7,1990.0,1.0,0,8435,3480
39223,36,17,39489,8,6,2012.0,,1,2009,504
58682,10,99,6450,10,9,1995.0,,1,5930,4347
86929,100,11,98155,3,4,2003.0,1.0,0,6326,26970
51522,3,61,9047,8,3,2012.0,1.0,1,632,14136
39686,42,15,71019,5,8,2021.0,1.0,1,5198,9819
23563,21,90,91058,6,8,1993.0,1.0,0,703,25071
96470,74,21,92029,4,2,2011.0,1.0,1,5414,3435
19127,31,5,7475,2,9,2008.0,0.0,0,5387,348
13087,44,77,40475,8,4,2004.0,1.0,0,1745,18216
79770,3,69,54812,10,5,2018.0,0.0,1,8871,4698
75985,60,67,6517,6,9,2009.0,1.0,1,4878,16374
64169,88,6,61711,3,9,2011.0,1.0,1,3054,23787
99371,31,16,96297,7,8,2013.0,,1,3258,699
25966,37,17,22818,3,1,2016.0,,0,8257,15912
41792,43,10,80768,9,5,2017.0,1.0,1,2950,15144
28795,64,50,97667,3,4,2009.0,,1,9862,10656
92383,12,78,71982,3,7,2000.0,,0,7507,18843
33279,64,65,91690,3,2,2019.0,,1,2427,21423
34782,47,73,35331,1,4,2020.0,,1,9586,8094
13386,51,90,87978,4,6,1993.0,,0,2885,27903
20883,56,54,85377,5,9,2018.0,,0,9982,28002
95121,46,3,9382,7,9,1994.0,0.0,0,615,16743
6071,72,14,8410,2,6,2003.0,,1,3306,6693
11844,43,55,46144,6,5,1993.0,,0,5292,25788
52078,7,73,20372,10,4,2016.0,1.0,1,1864,19233
25897,98,92,20344,2,4,1993.0,0.0,1,9799,3063
85443,40,54,339,3,1,2021.0,1.0,0,3056,7719
11412,78,79,73807,1,5,2009.0,,1,6899,2946
97550,89,98,78155,2,5,2014.0,1.0,0,5391,20964
76485,47,9,90254,2,9,2008.0,,0,2860,22833
26169,29,62,66489,9,7,1993.0,0.0,1,7918,27606
24239,87,91,73056,4,7,1998.0,,0,6656,24297
36239,8,24,66771,7,6,1990.0,,1,6679,10908
10500,88,49,10533,10,1,2013.0,1.0,1,4170,11328
87060,27,91,51803,8,10,2000.0,0.0,0,6629,9954
66683,19,6,50801,6,2,2001.0,,0,7473,22272
66569,59,56,15574,7,9,2016.0,1.0,1,2020,23529
84559,29,69,53057,7,7,2000.0,,0,3573,14568
28749,39,53,80821,6,5,1996.0,,0,8113,1824
76091,38,32,59451,5,8,2016.0,,0,8150,25302
92696,49,38,74381,9,2,2021.0,0.0,0,1559,5280
46988,66,27,4863,9,10,1991.0,1.0,1,8339,23076
48062,22,4,28104,1,10,2008.0,,0,7908,29817
5767,97,11,44551,7,3,1998.0,,0,2516,22392
59800,47,27,44815,6,9,2021.0,,0,5075,28137
54836,25,53,64601,10,5,2020.0,,0,5278,14547
